Title,Author,Quantity,Price,Location,Isbn,EditionYear,Publisher,Edition,Cover,Subject,Pages,Language,Display
Eugenie Grandet,"Honoré de Balzac,Marion Ayton Crawford",1,395,RR15,014044050x,1955,Penguin UK,General,Soft Cover,Fiction,247,English,General
The house of Bernarda Alba,"Federico García Lorca,Gwynne Edwards",1,795,RR15,9.78041E+12,8/6/1998,Methuen,General,Soft Cover,Drama,141,English,General
A Choice Of Comic And Curious Verse,J. M. Cohen,1,795,RR15,140421866,1975,Penguin Books,General,Soft Cover,RARE BOOKS,,English,General
Baudelaire Selected Verse With an Introduction,Francis Scarfe,1,995,RR15,,1967,Penguin Books,General,Soft Cover,RARE BOOKS,,English,General
Père Goriot / Eugénie Grandet,Honore De Balzac,1,495,RR15,,1965,Modern Library College,General,Soft Cover,RARE BOOKS,,English,General
Old Possum's Book of Practical Cats,Thomas Stearns Eliot,1,495,RR15,9.78057E+12,1962,Faber & Faber Company LTD.,General,Soft Cover,Pets,59,English,General
Penguin Popular Classics Selected Poems,Robert Burns,1,395,RR15,,1996,Penguin Books,General,Soft Cover,Classics,,English,General
"Collected poems, 1957-1987",Dom Moraes,1,395,RR15,9.78014E+12,1987,Not Avail,General,Soft Cover,Fiction,167,English,General
Dancing Earth,"Robin S. Ngangom,Kynpham Singh Nongkynrih",1,495,RR15,9.78014E+12,2009,Penguin Books India,General,Soft Cover,Indic poetry,326,English,General
Becoming a Teacher,"Pat Holborn,Ian Harold Andrews,Marvin Wideen,Western Canadian Association for Student Teaching",1,650,RR7,921099010,1/1/1988,Kagan & Woo,General,Soft Cover,Student teaching,321,English,General
Correspondence & Business Writing,Duncan Macintosh,1,650,RR7,9622110231,1980,,General,Soft Cover,Business writing,304,English,General
"A manual for writers of term papers, theses, and dissertations",Kate L. Turabian,1,1250,RR7,226816214,1973,The University Of Chicago Press,General,Soft Cover,Education,216,English,General
A Handbook of Classroom Assessment,Ashton D. Trice,1,650,RR7,9.78032E+12,2000,Allyn & Bacon,General,Soft Cover,Education,322,English,General
How To Teach Reading,Morton Botel,1,400,RR7,695206931,1968,Follett Publishing Company,General,Soft Cover,Education,,English,General
How To Teach Reading,Morton Botel,1,400,RR7,695206931,1968,Follett Publishing Company,General,Soft Cover,Education,,English,General
Elementary Turkish,"Lewis Victor Thomas,Norman Itzkowitz",1,450,RR7,9.78049E+12,1967,Courier Corporation,General,Soft Cover,Foreign Language Study,187,English,General
The Reader's Digest word power quiz book,Reader's Digest Association,1,350,RR7,9.7809E+12,1995-06,Readers Digest,General,Soft Cover,Language Arts & Disciplines,216,English,General
The Dell Crossword Dictionary,Kathleen Rafferty,1,200,RR7,440163099,7/1/1987,Dell Publishing Company,General,Soft Cover,Games,448,English,General
Psychology In The Classroom,Rudolf Dreikurs,1,495,RR7,,1957,Harper & Row Publishers,General,Soft Cover,Psychology,,English,General
Webster's Collegiate Thesaurus,"Merriam-Webster, Inc",1,1250,RR7,877790698,1988,Merriam,General,Hard Cover,Anglais (Langue) - Synonymes et antonymes,894,English,General
Learning to Learn in a Second Language,Pauline Gibbons,1,350,RR7,9.78091E+12,1991,Primary English Teaching Assiociation,General,Soft Cover,Bilingualism,122,English,General
Blender Drinks,"Jan Purser,Dimitra Stais,Tracy Rutherford",1,700,RR7,9.78184E+12,2003,,General,Soft Cover,Blenders (Cookery),80,English,General
Larousse French English Dictionary,Larousse,1,495,RR7,671534076,6/1/1996,Pocket Books,General,Soft Cover,Education,720,English,General
Langenscheidt's Pocket Spanish Dictionary,Langenscheidt,1,495,RR7,887291031,1985,Langenscheidt Publishers,General,Soft Cover,Language Arts & Disciplines,656,English,General
Food & Wine: Best of 1992 Collection,Kate Slate,1,1550,RR7,916103161,1992,American Express,General,Hard Cover,Cooking,280,English,General
Popular French Cookery,Mary Berry,1,750,RR7,706400747,1972,Octopus Books,General,Hard Cover,Cooking,,English,General
The Good Carb Cookbook,Sandra Woodruff,1,995,RR7,1583330844,2001,Penguin,General,Soft Cover,Cooking,312,English,General
A Guide To Modern Cooking,Pol Martin,1,1950,RR7,2920845535,1989,Brimar,General,Hard Cover,Cooking,,English,General
The Magic Of Ayurveda Aromatherapy,Farida Irani,1,795,RR7,646411268,2001,Subtle Energy,General,Soft Cover,Health & Wellbeing,,English,General
Joy of Cooking,"Irma S. Rombauer,Marion Rombauer Becker,Ginnie Hofmann",1,795,RR7,9.78045E+12,1997,Plume,General,Soft Cover,Cooking,915,English,General
The Cure for All Cancers,Hulda Regehr Clark,1,670,RR7,9.78189E+12,1993,,General,Soft Cover,Medical,623,English,General
